dauid,area_sq_km,pop_total,hhld_total,vismin_total,vismin_vismin,lico_total,lico_lico,fam_total,fam_oneparent,fam_onemother
48060056,0.1221,465,166,480,265,465,15,140,15,15
48060057,0.0866,377,134,390,155,375,10,120,15,15
48060058,0.1557,467,183,475,255,470,30,140,25,15
48060059,0.0888,351,144,385,175,350,15,110,5,5
48060060,0.2522,612,215,635,345,615,20,195,30,15
48060061,0.1082,443,176,480,225,445,20,130,25,15
48060062,0.2534,602,224,595,140,605,50,170,30,20
48060063,0.1232,736,255,695,355,740,60,195,60,50
48060064,0.094,450,177,470,275,450,35,125,35,30
48060065,0.1159,364,146,385,165,360,30,100,15,10
48060066,0.2767,531,215,455,90,530,40,170,30,25
48060067,0.1737,598,233,565,115,595,30,180,35,25
48060068,0.1028,403,148,410,160,395,40,100,35,35
48060069,0.1158,392,137,390,125,395,35,105,25,15
48060070,0.122,384,148,340,135,385,30,105,15,10
48060071,0.2183,554,231,570,145,550,35,165,40,35
48060072,0.1039,353,141,375,85,350,25,100,25,25
48060073,0.18,467,194,425,200,465,35,120,35,25
48060074,0.0763,273,111,280,65,270,15,85,15,10
48060075,0.1242,365,184,370,85,365,10,100,30,25
48060077,0.1315,360,157,385,105,360,30,105,20,15
48060078,0.1658,597,247,630,150,595,20,170,30,25
48060079,0.1462,655,230,620,330,655,40,175,55,50
48060080,0.0225,271,107,295,150,270,20,80,35,30
48060085,0.1722,600,237,595,300,600,65,165,45,30
48060086,0.249,446,178,465,115,445,25,125,25,20
48060087,0.2917,539,222,540,105,540,30,155,15,15
48060088,0.203,437,202,440,80,435,20,120,20,20
48060089,0.2248,557,230,480,115,555,40,145,25,20
48060090,0.3712,676,374,680,275,675,85,145,35,30
48060091,0.1615,523,242,505,140,520,40,125,25,20
48060092,0.4001,728,375,710,260,685,65,165,35,25
48060093,0.1529,623,311,585,270,625,55,150,35,30
48060094,0.4337,669,251,535,190,505,85,115,40,30
48060095,0.1265,570,260,505,230,565,45,150,35,30
48060096,0.1461,574,264,580,220,570,65,140,30,25
48060097,0.1763,605,308,670,235,605,35,145,35,30
48060098,0.1446,688,280,800,260,690,30,205,15,15
48060099,0.1552,593,285,485,90,585,45,170,25,20
48060100,0.0979,382,166,380,60,385,25,115,10,5
48060101,0.2777,440,181,440,60,440,20,125,10,10
48060102,0.2495,756,288,780,115,755,25,220,20,10
48060103,0.1993,621,287,655,150,620,40,175,20,20
48060104,0.1755,835,384,870,230,835,65,210,25,20
48060105,0.2198,611,234,535,125,610,30,180,20,10
48060106,0.187,833,398,875,255,835,65,220,30,25
48060107,0.1362,513,246,490,70,515,35,145,20,15
48060108,0.1636,521,197,520,90,520,25,160,10,10
48060109,0.3025,1010,634,995,215,1005,110,225,25,20
48060110,0.2291,764,338,740,80,760,50,210,35,30
48060112,0.0878,627,385,620,85,625,75,135,20,15
48060113,0.0521,380,228,420,90,380,35,80,15,10
48060114,0.0718,421,269,430,140,420,45,85,10,10
48060115,0.096,784,504,825,245,785,75,175,15,10
48060116,0.0971,630,322,640,170,630,65,165,45,40
48060117,0.1328,811,303,635,120,645,50,165,15,10
48060118,0.1975,717,452,665,175,720,65,180,15,10
